Year;Datetime;Stage;Stadium;City;Home Team Name;Home Team Goals;Away Team Goals;Away Team Name;Win conditions;Attendance;Half-time Home Goals;Half-time Away Goals;Referee;Assistant 1;Assistant 2;RoundID;MatchID;Home Team Initials;Away Team Initials;Selecao analisada;Gols Pro torneio;Gols Contra torneio
2014.0;24 Jun 2014 - 17:00 ;Group C;Estadio Castelao;Fortaleza ;Greece;2.0;1.0;C�te d'Ivoire; ;59095.0;1.0;0.0;VERA Carlos (ECU);LESCANO Christian (ECU);ROMERO Byron (ECU);255931.0;300186455.0;GRE;CIV;Greece;3.0;5.0
2014.0;25 Jun 2014 - 13:00 ;Group F;Estadio Beira-Rio;Porto Alegre ;Nigeria;2.0;3.0;Argentina; ;43285.0;1.0;2.0;Nicola RIZZOLI (ITA);Renato FAVERANI (ITA);Andrea STEFANI (ITA);255931.0;300186458.0;NGA;ARG;Nigeria;3.0;5.0
2014.0;25 Jun 2014 - 13:00 ;Group F;Arena Fonte Nova;Salvador ;"rn"">Bosnia and Herzegovina";3.0;1.0;IR Iran; ;48011.0;1.0;0.0;Carlos VELASCO CARBALLO (ESP);ALONSO FERNANDEZ Roberto (ESP);YUSTE Juan (ESP);255931.0;300186464.0;BIH;IRN;"rn"">Bosnia and Herzegovina";4.0;4.0
2014.0;25 Jun 2014 - 16:00 ;Group E;Arena Amazonia;Manaus ;Honduras;0.0;3.0;Switzerland; ;40322.0;0.0;2.0;PITANA Nestor (ARG);MAIDANA Hernan (ARG);BELATTI Juan Pablo (ARG);255931.0;300186482.0;HON;SUI;Honduras;1.0;8.0
2014.0;25 Jun 2014 - 17:00 ;Group E;Estadio do Maracana;Rio De Janeiro ;Ecuador;0.0;0.0;France; ;73749.0;0.0;0.0;Noumandiez DOUE (CIV);YEO Songuifolo (CIV);BIRUMUSHAHU Jean Claude (BDI);255931.0;300186515.0;ECU;FRA;Ecuador;3.0;3.0
2014.0;26 Jun 2014 - 13:00 ;Group G;Arena Pernambuco;Recife ;USA;0.0;1.0;Germany; ;41876.0;0.0;0.0;Ravshan IRMATOV (UZB);RASULOV Abduxamidullo (UZB);KOCHKAROV Bakhadyr (KGZ);255931.0;300186469.0;USA;GER;USA;5.0;6.0
2014.0;26 Jun 2014 - 13:00 ;Group G;Estadio Nacional;Brasilia ;Portugal;2.0;1.0;Ghana; ;67540.0;1.0;0.0;SHUKRALLA Nawaf (BHR);TULEFAT Yaser (BHR);SALEH Ebrahim (BHR);255931.0;300186476.0;POR;GHA;Portugal;4.0;7.0
2014.0;26 Jun 2014 - 17:00 ;Group H;Arena de Sao Paulo;Sao Paulo ;Korea Republic;0.0;1.0;Belgium; ;61397.0;0.0;0.0;Ben WILLIAMS (AUS);CREAM Matthew (AUS);ANAZ Hakan (AUS);255931.0;300186480.0;KOR;BEL;Korea Republic;3.0;6.0
2014.0;26 Jun 2014 - 17:00 ;Group H;Arena da Baixada;Curitiba ;Algeria;1.0;1.0;Russia; ;39311.0;0.0;1.0;C�neyt �AKIR (TUR);DURAN Bahattin (TUR);ONGUN Tarik (TUR);255931.0;300186506.0;ALG;RUS;Algeria;6.0;5.0
2014.0;28 Jun 2014 - 13:00 ;Round of 16;Estadio Mineirao;Belo Horizonte ;Brazil;1.0;1.0;Chile;Brazil win on penalties (3 - 2) ;57714.0;0.0;0.0;WEBB Howard (ENG);MULLARKEY Michael (ENG);Darren CANN (ENG);255951.0;300186487.0;BRA;CHI;Brazil;11.0;14.0
2014.0;28 Jun 2014 - 17:00 ;Round of 16;Estadio do Maracana;Rio De Janeiro ;Colombia;2.0;0.0;Uruguay; ;73804.0;1.0;0.0;Bj�rn KUIPERS (NED);Sander VAN ROEKEL (NED);Erwin ZEINSTRA (NED);255951.0;300186491.0;COL;URU;Colombia;12.0;4.0
2014.0;30 Jun 2014 - 13:00 ;Round of 16;Estadio Nacional;Brasilia ;France;2.0;0.0;Nigeria; ;67882.0;0.0;0.0;GEIGER Mark (USA);HURD Sean (USA);FLETCHER Joe (CAN);255951.0;300186462.0;FRA;NGA;France;10.0;3.0
2014.0;04 Jul 2014 - 17:00 ;Quarter-finals;Estadio Castelao;Fortaleza ;Brazil;2.0;1.0;Colombia; ;60342.0;1.0;0.0;Carlos VELASCO CARBALLO (ESP);ALONSO FERNANDEZ Roberto (ESP);YUSTE Juan (ESP);255953.0;300186461.0;BRA;COL;Brazil;11.0;14.0
